epoch,accuracy,loss,val_accuracy,val_loss
0,0.765999972820282,0.6286596059799194,0.8812500238418579,0.2817780673503876
1,0.8504999876022339,0.3519725203514099,0.8862500190734863,0.2847277820110321
2,0.8840000033378601,0.2940673530101776,0.887499988079071,0.287306010723114
3,0.9104999899864197,0.2331055849790573,0.8987500071525574,0.2970387935638428
4,0.9110000133514404,0.2283458560705185,0.9024999737739563,0.25621506571769714
5,0.9279999732971191,0.18406663835048676,0.8899999856948853,0.3109208047389984
6,0.9369999766349792,0.16665923595428467,0.8887500166893005,0.35510528087615967
7,0.9415000081062317,0.16584159433841705,0.8999999761581421,0.3103424906730652
8,0.9424999952316284,0.1580091118812561,0.8999999761581421,0.35098862648010254
9,0.949999988079071,0.1358402669429779,0.9024999737739563,0.34938549995422363
